[TRACE][2021/12/06 15:36:45:069][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 131/999
[TRACE][2021/12/06 15:36:45:156][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 132/999
[TRACE][2021/12/06 15:36:45:242][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 133/999
[TRACE][2021/12/06 15:36:45:328][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 134/999
[TRACE][2021/12/06 15:36:45:414][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 135/999
[TRACE][2021/12/06 15:36:45:501][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 136/999
[TRACE][2021/12/06 15:36:45:587][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 137/999
[TRACE][2021/12/06 15:36:45:673][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 138/999
[TRACE][2021/12/06 15:36:45:759][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 139/999
[TRACE][2021/12/06 15:36:45:845][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 140/999
[TRACE][2021/12/06 15:36:45:931][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 141/999
[TRACE][2021/12/06 15:36:46:017][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 142/999
[TRACE][2021/12/06 15:36:46:112][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 143/999
[TRACE][2021/12/06 15:36:46:198][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 144/999
[TRACE][2021/12/06 15:36:46:285][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 145/999
[TRACE][2021/12/06 15:36:46:372][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 146/999
[TRACE][2021/12/06 15:36:46:458][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 2/10 simulating time: 147/999
